home_team_id,away_team_id,match_datetime,home_score,away_score
Patos Feos,Atletico Pigou,2025-08-13 14:00:00,5,3
Moneykates FC,Sembrador FC,2025-08-13 14:00:00,3,3
Optimo de Vardrid,Ludopol FC,2025-08-13 14:00:00,4,7
Vodka Juniors,FC Manteca,2025-08-20 08:20:00,4,4
Puro Sexo y Gol,Los Invencibles,2025-08-20 08:20:00,4,4
Squad Flex Fen FC,Furgon 1.7,2025-08-20 08:20:00,2,3
Biyevtivos FC,Malayas FC,2025-08-20 09:30:00,11,3
Los que Pasa FC,Hijos del Pozo,2025-08-20 09:30:00,1,9
Atletico Pigou,Club Penguin,2025-08-20 09:30:00,4,4
Furgon 1.7,Atletico Ca単a Brava,2025-09-10 09:30:00,6,4
Sembrador FC,Patos Feos,2025-09-12 11:00:00,10,3
Los Invencibles,Optimo de Vardrid,2025-09-12 14:00:00,0,5
Ludopol FC,Humildad FC,2025-09-12 14:00:00,4,3
Malayas FC,Los que Pasa FC,2025-10-08 08:20:00,4,6
FC Manteca,Squad Flex Fen FC,2025-10-08 08:20:00,5,0
Hijos del Pozo,Culebreo FC,2025-10-08 08:20:00,11,2
Humildad FC,Optimo de Vardrid,2025-08-27 08:20:00,4,3
Club Penguin,Patos Feos,2025-08-27 08:20:00,10,2
Puro Sexo y Gol,Ludopol FC,2025-08-27 08:20:00,5,8
Culebreo FC,Los que Pasa FC,2025-08-27 09:30:00,4,2
Atletico Ca単a Brava,Squad Flex Fen FC,2025-08-27 09:30:00,1,3
Vodka Juniors,Furgon 1.7,2025-08-27 09:30:00,6,5
Biyevtivos FC,Hijos del Pozo,2025-08-29 11:00:00,7,4
Moneykates FC,Atletico Pigou,2025-09-12 13:00:00,5,1
Malayas FC,Culebreo FC,2025-08-29 10:00:00,1,8
FC Manteca,Atletico Ca単a Brava,2025-08-29 10:00:00,8,1
Los Invencibles,Humildad FC,2025-08-29 10:00:00,5,11
Sembrador FC,Club Penguin,2025-08-29 11:00:00,3,1
Optimo de Vardrid,Puro Sexo y Gol,2025-08-29 12:00:00,7,4
Squad Flex Fen FC,Vodka Juniors,2025-08-29 12:00:00,1,1
Patos Feos,Moneykates FC,2025-08-29 13:00:00,1,1
Los que Pasa FC,Biyevtivos FC,2025-09-10 08:20:00,2,15
Club Penguin,Moneykates FC,2025-09-10 08:20:00,4,6
Atletico Pigou,Sembrador FC,2025-09-10 08:20:00,2,7
Ludopol FC,Los Invencibles,2025-09-10 09:30:00,6,6
Humildad FC,Puro Sexo y Gol,2025-09-10 09:30:00,17,1
Culebreo FC,Biyevtivos FC,2025-09-12 08:00:00,3,15
Furgon 1.7,FC Manteca,2025-09-12 11:00:00,7,3
Atletico Ca単a Brava,Vodka Juniors,2025-09-12 11:00:00,5,16
Hijos del Pozo,Malayas FC,2025-09-12 14:00:00,20,0
Sembrador FC,Humildad FC,2025-10-10 12:00:00,7,0
Ludopol FC,Moneykates FC,2025-10-10 12:00:00,0,5
Vodka Juniors,Hijos del Pozo,2025-10-10 12:00:00,0,5
Biyevtivos FC,Furgon 1.7,2025-10-10 12:00:00,3,6
